N°,id,status,all_images,aired_episodes,seen_episodes,up_to_date,runtime,name
285,331787,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/331787/1236994-0-optimized.jpg,12,0,False,25,Land of the Lustrous
286,332159,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/332159/1320611-0-optimized.jpg,12,0,False,24,Children of the Whales
287,332771,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/332771/1226844-0-optimized.jpg,10,0,False,25,Recovery of an MMO Junkie
288,332981,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/332981/1236470-0-optimized.jpg,12,0,False,25,King's Game: The Animation
289,333152,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/333152/1222903-0-optimized.jpg,12,0,False,25,Kino's Journey: The Beautiful World
290,333709,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/333709/1235390-0-optimized.jpg,12,0,False,25,Juni Taisen: Zodiac War
291,334824,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/334824/1248817-0-optimized.jpg,26,0,False,51,Dark
292,335237,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/335237/1253379-0-optimized.jpg,12,0,False,25,Junji Ito Collection
293,336404,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/336404/1257642-0-optimized.jpg,12,0,False,25,Death March to the Parallel World Rhapsody
294,336480,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/336480/1238857-0-optimized.jpg,12,0,False,25,Kokkoku
295,337017,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/337017/1241538-0-optimized.jpg,24,0,False,25,DARLING in the FRANXX
296,337122,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/337122/1257744-0-optimized.jpg,12,0,False,25,After the Rain
297,337936,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/337936/62934158-0-optimized.jpg,31,0,False,24,Teasing Master Takagi-san
298,338192,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/338192/1259744-0-optimized.jpg,10,0,False,25,Devilman Crybaby
299,338455,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/338455/1270269-0-optimized.jpg,36,0,False,25,Golden Kamuy
